SGL_BKAbschl;JG_BKAbschl;gueltigVon;gueltigBis
A01;01;;
A01;02;;
A01;03;;
A01;04;;
A02;03;;
A02;04;;
A03;01;;
A03;02;;
A03;03;;
A03;04;;
A05;01;;
A06;01;;
A07;01;;
A07;02;;
A12;01;;
A12;02;;
A13;01;;
A13;02;;
B01;01;;
B01;02;;
B06;01;;
C01;03;;
C02;02;;
C03;02;;
C04;01;;
C06;01;;
C07;02;;
C08;01;;
D01;04;;
D03;01;;
D04;02;;
D05;01;;
D06;02;;
E01;02;;
E02;04;;
E03;01;;
E04;02;;
E05;03;;
E13;01;;
E13;02;;
E13;03;;
B07;01;;
B08;01;;
B08;02;;
B08;03;;
B08;04;;
B09;01;;
B09;02;;
B09;03;;
B09;04;;
B10;01;;
B10;02;;
B10;03;;
B10;04;;
