Nr;Klartext;StatistikKrz;Sortierung;Schulform;StatistikKrzNeu;gueltigVon;gueltigBis
V;Versetzt;0;10;G;11;;
VV;Vorversetzt;0;20;G;12;;
FR;Freiwillig zurück;2;30;G;03;;
N;Nicht versetzt;1;40;G;00;;
NP;N.v., Nachprüfung möglich;1;50;V;00;;
A;Abschluss;0;60;V;11;;
BE;Verbleib in der Schuleingangsphase;3;70;G;04;;
BS;Verbleib in Stufe;4;80;S;03;;
VP;Versetzung auf Probe;5;90;H;13;;
V;Versetzt;0;10;S;11;;
VV;Vorversetzt;0;20;S;12;;
N;Nicht versetzt;1;40;S;00;;
BE;Verbleib in der Schuleingangsphase;3;70;S;04;;
N;Nicht versetzt;1;40;FW;00;;
V;Versetzt;0;10;FW;11;;
VV;Vorversetzt;0;20;FW;12;;
FR;Freiwillig zurück;2;30;FW;03;;
BE;Verbleib in der Schuleingangsphase;3;70;FW;04;;
FR;Freiwillig zurück;2;30;S;03;;
N;Nicht versetzt;1;40;V;00;;
FR;Freiwillig zurück;2;30;V;03;;
BE;Verbleib in der Schuleingangsphase;3;70;V;04;;
V;Versetzt;0;10;V;11;;
VV;Vorversetzt;0;20;V;12;;
N;Nicht versetzt;1;40;H;00;;
FR;Freiwillig zurück;2;30;H;03;;
V;Versetzt;0;10;H;11;;
VV;Vorversetzt;0;20;H;12;;
N;Nicht versetzt;1;40;R;00;;
FR;Freiwillig zurück;2;30;R;03;;
V;Versetzt;0;10;R;11;;
VV;Vorversetzt;0;20;R;12;;
VP;Versetzung auf Probe;5;90;R;13;;
N;Nicht versetzt;1;40;GE;00;;
FR;Freiwillig zurück;2;30;GE;03;;
V;Versetzt;0;10;GE;11;;
VV;Vorversetzt;0;20;GE;12;;
VP;Versetzung auf Probe;5;90;GE;13;;
NP;N.v., Nachprüfung möglich;1;50;FW;00;;
NP;N.v., Nachprüfung möglich;1;50;H;00;;
NP;N.v., Nachprüfung möglich;1;50;R;00;;
NP;N.v., Nachprüfung möglich;1;50;GE;00;;
N;Nicht versetzt;1;40;GY;00;;
FR;Freiwillig zurück;2;30;GY;03;;
V;Versetzt;0;10;GY;11;;
VV;Vorversetzt;0;20;GY;12;;
NP;N.v., Nachprüfung möglich;1;50;GY;00;;
NP;N.v., Nachprüfung möglich;1;50;SR;00;;
N;Nicht versetzt;1;40;SR;00;;
FR;Freiwillig zurück;2;30;SR;03;;
V;Versetzt;0;10;SR;11;;
VV;Vorversetzt;0;20;SR;12;;
NP;N.v., Nachprüfung möglich;1;50;SG;00;;
N;Nicht versetzt;1;40;SG;00;;
FR;Freiwillig zurück;2;30;SG;03;;
V;Versetzt;0;10;SG;11;;
VV;Vorversetzt;0;20;SG;12;;
N;Nicht versetzt;1;40;WB;W;;
FR;Freiwillig zurück;2;30;WB;W;;
V;Versetzt;0;10;WB;V;;
VV;Vorversetzt;0;20;WB;V;;
NP;N.v., Nachprüfung möglich;1;50;WB;W;;
A;Abschluss;0;60;FW;11;;
A;Abschluss;0;60;H;11;;
A;Abschluss;0;60;R;11;;
A;Abschluss;0;60;GE;11;;
A;Abschluss;0;60;GY;11;;
A;Abschluss;0;60;SR;11;;
A;Abschluss;0;60;S;11;;
A;Abschluss;0;60;SG;11;;
A;Abschluss;0;60;WB;V;;
N;Nicht versetzt;1;40;BK;W;;
FR;Freiwillig zurück;2;30;BK;W;;
V;Versetzt;0;10;BK;V;;
VV;Vorversetzt;0;20;BK;V;;
NP;N.v., Nachprüfung möglich;1;50;BK;W;;
A;Abschluss;0;60;BK;V;;
N;Nicht versetzt;1;40;SB;W;;
FR;Freiwillig zurück;2;30;SB;W;;
V;Versetzt;0;10;SB;V;;
VV;Vorversetzt;0;20;SB;V;;
NP;N.v., Nachprüfung möglich;1;50;SB;W;;
A;Abschluss;0;60;SB;V;;
A;Abschluss;0;60;G;11;;
VN;Versetzt, Anforderungen nicht erfüllt;0;15;BK;V;;
